model_name,hmax_scenario,service_cap_scenario,device_id,commission_date,prediction_start_date,age_at_prediction_start_years,current_real_rolling365,first_date_rolling365_below_37,functional_failure_date,recovery_failure_date,maintenance_burden_failure_date,service_cap_date,final_lifetime_end_date,final_remaining_life_years,final_failure_type,lifetime_end_date,is_censored_30y,remaining_life_years,predicted_total_life_years,status,M_at_lifetime_test
fixed_gain_baseline,neutral,neutral,a1,2022-04-01,2026-04-12,4.030116358658453,90.58501076772423,,,,2026-09-10,2037-03-31,2026-09-10,0.4134154688569473,excessive_maintenance_burden,2026-09-10,False,0.4134154688569473,4.4435318275154,lifetime_end,
fixed_gain_baseline,neutral,neutral,a10,2022-04-01,2026-04-12,4.030116358658453,71.71774881933914,,,,2026-08-22,2037-03-31,2026-08-22,0.3613963039014374,excessive_maintenance_burden,2026-08-22,False,0.3613963039014374,4.39151266255989,lifetime_end,
fixed_gain_baseline,neutral,neutral,a2,2022-04-01,2026-04-12,4.030116358658453,67.1571480547334,,,,2026-06-08,2037-03-31,2026-06-08,0.15605749486652978,excessive_maintenance_burden,2026-06-08,False,0.15605749486652978,4.186173853524982,lifetime_end,
fixed_gain_baseline,neutral,neutral,a3,2022-04-01,2026-04-12,4.030116358658453,88.6515429681911,,,,2026-06-07,2037-03-31,2026-06-07,0.15331964407939766,excessive_maintenance_burden,2026-06-07,False,0.15331964407939766,4.18343600273785,lifetime_end,
fixed_gain_baseline,neutral,neutral,a4,2022-04-01,2026-04-12,4.030116358658453,101.40817970728784,2031-04-04,2031-04-04,,,2037-03-31,2031-04-04,4.97741273100616,functional_failure,2031-04-04,False,4.97741273100616,9.007529089664612,lifetime_end,36.987511558702145
fixed_gain_baseline,neutral,neutral,a5,2022-04-01,2026-04-12,4.030116358658453,76.52158104564066,2028-09-10,2028-09-10,,,2037-03-31,2028-09-10,2.414784394250513,functional_failure,2028-09-10,False,2.414784394250513,6.444900752908966,lifetime_end,36.99434573148578
fixed_gain_baseline,neutral,neutral,a6,2022-04-01,2026-04-12,4.030116358658453,88.29265687847739,,,,2026-06-23,2037-03-31,2026-06-23,0.1971252566735113,excessive_maintenance_burden,2026-06-23,False,0.1971252566735113,4.227241615331964,lifetime_end,
fixed_gain_baseline,neutral,neutral,a7,2022-04-01,2026-04-12,4.030116358658453,82.42586390955375,,,,2026-09-16,2037-03-31,2026-09-16,0.42984257357973993,excessive_maintenance_burden,2026-09-16,False,0.42984257357973993,4.459958932238193,lifetime_end,
fixed_gain_baseline,neutral,neutral,a8,2022-04-01,2026-04-12,4.030116358658453,81.16723289715755,2027-09-05,2027-09-05,,,2037-03-31,2027-09-05,1.3990417522245038,functional_failure,2027-09-05,False,1.3990417522245038,5.429158110882956,lifetime_end,36.9635129642664
fixed_gain_baseline,neutral,neutral,a9,2022-04-01,2026-04-12,4.030116358658453,77.46763149516717,,,,2027-02-06,2037-03-31,2027-02-06,0.8213552361396304,excessive_maintenance_burden,2027-02-06,False,0.8213552361396304,4.851471594798083,lifetime_end,
fixed_gain_baseline_hmax_optimistic,optimistic,neutral,a1,2022-04-01,2026-04-12,4.030116358658453,90.58501076772423,,,,2026-09-10,2037-03-31,2026-09-10,0.4134154688569473,excessive_maintenance_burden,2026-09-10,False,0.4134154688569473,4.4435318275154,lifetime_end,
